ptax_compra,ptax_venda,ptax_mid,mt5_close,date,diff_bps_venda,diff_bps_mid
4.9164,4.917,4.9167000000000005,4.9405,2026-05-07,47.79336994102156,48.40645148168405
4.8993,4.8999,4.8995999999999995,4.9457,2026-05-08,93.4712953325593,94.08931341334176
4.8967,4.8973,4.897,4.936,2026-05-11,79.02313519694425,79.64059628343823
4.8971,4.8977,4.8974,4.9266,2026-05-12,59.00728913571525,59.62347367991066
4.9112,4.9118,4.9115,4.9536,2026-05-13,85.10118490166413,85.71719433981387
4.9803,4.9809,4.9806,5.0184,2026-05-14,75.28759862675349,75.89447054571704
5.0648,5.0654,5.0651,5.0942,2026-05-15,56.85631934299264,57.45197528182994
5.0087,5.0093,5.009,5.0487,2026-05-18,78.65370411035585,79.2573367937709
5.0372,5.0378,5.0375,5.0716,2026-05-19,67.09277859383118,67.69230769230862
5.0295,5.0301,5.0298,5.0882,2026-05-20,115.5046619351496,116.10799634180243
5.0071,5.0077,5.0074000000000005,5.0547,2026-05-21,93.85546258761626,94.46019890561946
5.0134,5.014,5.0137,5.0446,2026-05-22,61.02911846828827,61.631130701876714
5.0205,5.0211,5.0207999999999995,5.0453,2026-05-26,48.196610304515836,48.797004461441674
5.0573,5.0579,5.0576,5.0857,2026-05-27,54.96352241048666,55.559949383107075
5.0511,5.0517,5.0514,5.0922,2026-05-28,80.17103153393859,80.76968761135517
5.0563,5.0569,5.0565999999999995,5.0905,2026-05-29,66.44386877335889,67.04109480678726
5.0297,5.0303,5.03,5.0678,2026-06-01,74.54823767966053,75.14910536779291
5.0154,5.016,5.0157,5.0509,2026-06-02,69.57735247209007,70.17963594313967
5.0409,5.0415,5.0412,5.0719,2026-06-03,60.29951403352217,60.898198841546446
5.1238,5.1244,5.1241,5.1505,2026-06-05,50.93279213176266,51.52124275482476
5.1689,5.1695,5.1692,5.1948,2026-06-08,48.94090337556757,49.5241043101444
5.1687,5.1693,5.1690000000000005,5.1946,2026-06-09,48.94279689706642,49.52602050686757
5.1757,5.1763,5.176,5.2141,2026-06-10,73.02513378281752,73.6089644513138
5.1472,5.1478,5.1475,5.2027,2026-06-11,106.64749990287103,107.23652258377881
5.0821,5.0827,5.0824,5.145,2026-06-12,122.57264839553697,123.17015583189
5.0424,5.043,5.0427,5.0764,2026-06-15,66.23041840174386,66.82927796616816
5.0774,5.078,5.0777,5.1052,2026-06-16,53.5643954312715,54.15837879354798
5.0635,5.0641,5.0638000000000005,5.1098,2026-06-17,90.24308366738428,90.84087049251426
5.1607,5.1613,5.161,5.1788,2026-06-18,33.90618642590059,34.48944003100225
5.1389,5.1395,5.1392,5.1924,2026-06-22,102.92830041832896,103.51805728518129
5.1737,5.1743,5.1739999999999995,5.2074,2026-06-23,63.970005604623104,64.55353691534658
5.2092,5.2098,5.2095,5.2526,2026-06-24,82.15286575300343,82.73346770323431
5.1886,5.1892,5.1889,5.244,2026-06-25,105.60394665844483,106.18820944708798
5.1689,5.1695,5.1692,5.2194,2026-06-26,96.52771061031058,97.11367329567484
5.1711,5.1717,5.1714,5.2021,2026-06-29,58.78144517276584,59.36496886723035
5.176,5.1766,5.1762999999999995,5.2161,2026-06-30,76.30491055905482,76.8888974750314
5.1944,5.195,5.1947,5.2308,2026-07-01,68.91241578440818,69.49390725162232
